"11";"1";"1";"1";"12";"0";"2017-01-31 23:33:38";"2017-01-31 23:33:38";NULL;NULL;NULL;"MURO DE CERCO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"12";"1";"TA0001";"1";"0";"11";"2017-01-31 23:34:48";"2017-02-14 03:26:11";NULL;NULL;NULL;"EXCAVACION  DE 0 -1.5M TERRENO BLANDO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"13";"1";"TA0002";"1";"0";"11";"2017-01-31 23:35:06";"2017-02-08 16:59:14";NULL;NULL;NULL;"CIMIENTO DE HOCO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"14";"1";"TA0003";"1";"18";"11";"2017-01-31 23:41:49";"2017-02-08 16:59:19";NULL;NULL;NULL;"VIGA DE ENCADENADO HOAO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"15";"1";"TA0004";"1";"19";"11";"2017-01-31 23:42:16";"2017-02-08 16:59:24";NULL;NULL;NULL;"MURO DE LADRILLO VISTO 18H";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"16";"1";"TA0005";"1";"20";"11";"2017-01-31 23:42:37";"2017-02-08 16:59:29";NULL;NULL;NULL;"PILAR DE HOAO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"17";"1";"TA0006";"1";"0";"11";"2017-01-31 23:42:56";"2017-02-08 16:59:38";NULL;NULL;NULL;"BOTAGUAS DE HOAO 30X10CM";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"18";"1";"1";"2";"0";"0";"2017-02-06 17:58:55";"2017-02-08 20:43:46";NULL;NULL;NULL;"MODULO 1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"19";"1";"TA0001";"2";"0";"18";"2017-02-06 17:59:25";"2017-02-08 17:00:16";NULL;NULL;NULL;"EXCAVACION 0-1.5M TERRENO BLANDO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"20";"1";"TA0002";"2";"27";"18";"2017-02-06 17:59:39";"2017-02-08 17:00:31";NULL;NULL;NULL;"CIMIENTOS DE HOCO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"21";"1";"TA0003";"2";"28";"18";"2017-02-06 17:59:57";"2017-02-16 10:15:59";NULL;NULL;NULL;"Viga de encadenado de HoAo";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"22";"1";"TA0004";"2";"29";"18";"2017-02-06 18:00:28";"2017-02-08 17:00:49";NULL;NULL;NULL;"Muro de ladrillo visto 18H";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"23";"1";"TA0005";"2";"30";"18";"2017-02-06 18:00:44";"2017-02-08 17:00:54";NULL;NULL;NULL;"PILAR DE HOAO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"24";"1";"TA0006";"2";"31";"18";"2017-02-06 18:01:34";"2017-02-08 17:00:59";NULL;NULL;NULL;"BOTAGUAS DE HOAO 30X10CM";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"29";"1";"TA";"3";"37";"27";"2017-02-06 19:11:59";"2017-02-06 19:11:59";NULL;NULL;NULL;"EXCAVACION";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"-1";NULL;NULL;NULL;NULL
"30";"1";"TA";"3";"38";"27";"2017-02-06 19:13:21";"2017-02-06 19:13:21";NULL;NULL;NULL;"HORMIGON H-17";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"-1";NULL;NULL;NULL;NULL
"31";"1";"TA";"3";"39";"27";"2017-02-06 19:13:37";"2017-02-06 19:13:37";NULL;NULL;NULL;"PROVISION DE AGREGADO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"-1";NULL;NULL;NULL;NULL
"41";"1";"1";"3";"41";"0";"2017-02-07 02:08:56";"2017-02-07 02:08:56";NULL;NULL;NULL;"MURO DE CERCO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"42";"1";"TA0001";"3";"27";"41";"2017-02-07 02:09:27";"2017-02-08 17:01:47";NULL;NULL;NULL;"CIMIENTOS DE HOCO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"44";"1";"TA0002";"3";"43";"41";"2017-02-07 02:27:52";"2017-02-08 17:01:52";NULL;NULL;NULL;"EXCAVACION  0-1.5 M BLANDO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"48";"1";"TA0003";"3";"28";"41";"2017-02-07 03:03:25";"2017-02-08 17:01:59";NULL;NULL;NULL;"Viga de encadenado de HoAo";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"49";"1";"1";"4";"49";"0";"2017-02-07 20:23:18";"2017-02-07 20:23:18";NULL;NULL;NULL;"MODULO 1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"50";"1";"TA0001";"4";"45";"49";"2017-02-07 20:32:08";"2017-02-08 17:02:36";NULL;NULL;NULL;"VIGA DE ENCADENADO DE HOAO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"51";"1";"TA0002";"4";"20";"49";"2017-02-07 20:33:39";"2017-02-08 17:02:42";NULL;NULL;NULL;"PILAR DE HOAO";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"52";"1";"TA0003";"4";"0";"49";"2017-02-07 20:36:51";"2017-02-08 17:02:46";NULL;NULL;NULL;"BOTAGUAS DE HOAO 30X10CM";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
"53";"1";"1";"5";"51";"0";"2017-02-08 20:36:36";"2017-02-08 20:36:36";NULL;NULL;NULL;"MOVIENTO DE TIERRAS";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL;NULL;NULL
